# This is for paper [ICME 2025] Variance-Reduction Guidance: Sampling Trajectory Optimization for Diffusion Models
# dataset: LSUN Bedroom
# pre-trained model: https://github.com/pesser/pytorch_diffusion?tab=readme-ov-file
# pre-trained model: https://heibox.uni-heidelberg.de/d/01207c3f6b8441779abf/?p=%2Fdiffusion_models_converted%2Fema_diffusion_cifar10_model&mode=list
# pre-trained model: ema-cifar10-model-790000.ckpt
#
# ts : timestep
# MSE: mean squared error between predicted noise and ground-truth noise
#      The MSE value below is the average of all dimensions.
#
# ts  	alpha_bar	MSE
 376	0.235602	0.01613708
 377	0.233814	0.01603435
 378	0.232034	0.01594595
 379	0.230264	0.01583789
 380	0.228503	0.01579071
 381	0.226750	0.01568722
 382	0.225007	0.01559040
 383	0.223272	0.01550641
 384	0.221546	0.01541453
 385	0.219829	0.01533424
 386	0.218121	0.01527710
 387	0.216422	0.01519837
 388	0.214732	0.01509868
 389	0.213051	0.01502390
 390	0.211379	0.01495602
 391	0.209716	0.01484881
 392	0.208061	0.01471092
 393	0.206416	0.01467767
 394	0.204779	0.01456055
 395	0.203152	0.01452642
 396	0.201533	0.01444911
 397	0.199923	0.01438211
 398	0.198322	0.01424861
 399	0.196730	0.01419271
 400	0.195146	0.01410481
 401	0.193572	0.01403048
 402	0.192006	0.01391358
 403	0.190450	0.01387450
 404	0.188902	0.01380253
 405	0.187363	0.01372373
 406	0.185832	0.01366736
 407	0.184311	0.01359620
 408	0.182798	0.01346736
 409	0.181294	0.01344604
 410	0.179799	0.01333350
 411	0.178313	0.01326254
 412	0.176835	0.01319298
 413	0.175366	0.01310163
 414	0.173906	0.01300656
 415	0.172454	0.01289317
 416	0.171011	0.01285343
 417	0.169577	0.01280207
 418	0.168152	0.01271457
 419	0.166735	0.01265248
 420	0.165326	0.01254166
 421	0.163927	0.01250670
 422	0.162535	0.01242700
 423	0.161153	0.01235308
 424	0.159779	0.01227075
 425	0.158413	0.01222465
 426	0.157056	0.01217345
 427	0.155708	0.01204446
 428	0.154368	0.01198408
 429	0.153036	0.01194352
 430	0.151713	0.01183987
 431	0.150399	0.01175109
 432	0.149092	0.01169808
 433	0.147794	0.01161389
 434	0.146505	0.01156225
 435	0.145224	0.01152036
 436	0.143951	0.01141980
 437	0.142686	0.01136175
 438	0.141430	0.01128961
 439	0.140182	0.01120863
 440	0.138942	0.01114906
 441	0.137710	0.01111830
 442	0.136487	0.01101784
 443	0.135271	0.01094303
 444	0.134064	0.01090009
 445	0.132865	0.01084704
 446	0.131674	0.01077367
 447	0.130491	0.01071616
 448	0.129316	0.01063800
 449	0.128149	0.01050307
 450	0.126990	0.01049154
 451	0.125839	0.01044083
 452	0.124696	0.01035584
 453	0.123561	0.01027790
 454	0.122433	0.01023567
 455	0.121314	0.01018973
 456	0.120202	0.01008161
 457	0.119098	0.01005260
 458	0.118002	0.00997924
 459	0.116914	0.00992657
 460	0.115833	0.00986711
 461	0.114760	0.00978746
 462	0.113695	0.00969590
 463	0.112637	0.00969172
 464	0.111587	0.00961289
 465	0.110544	0.00954865
 466	0.109509	0.00949580
 467	0.108482	0.00939861
 468	0.107462	0.00934604
 469	0.106449	0.00929760
 470	0.105444	0.00927395
 471	0.104447	0.00918994
 472	0.103456	0.00910781
 473	0.102473	0.00906706
 474	0.101497	0.00900507
 475	0.100529	0.00893710
 476	0.099568	0.00887517
 477	0.098614	0.00883445
 478	0.097667	0.00875947
 479	0.096727	0.00871201
 480	0.095794	0.00868019
 481	0.094869	0.00859197
 482	0.093950	0.00855600
 483	0.093039	0.00847593
 484	0.092134	0.00842861
 485	0.091237	0.00837158
 486	0.090346	0.00830114
 487	0.089463	0.00828574
 488	0.088586	0.00821964
 489	0.087716	0.00813768
 490	0.086853	0.00811023
 491	0.085996	0.00804286
 492	0.085146	0.00797855
 493	0.084303	0.00794480
 494	0.083467	0.00786584
 495	0.082637	0.00780533
 496	0.081814	0.00778428
 497	0.080998	0.00769948
 498	0.080188	0.00766777
 499	0.079384	0.00762766
 500	0.078587	0.00757070
 501	0.077797	0.00751680
 502	0.077013	0.00745165
 503	0.076235	0.00741752
 504	0.075463	0.00733256
 505	0.074698	0.00731867
 506	0.073939	0.00726085
 507	0.073186	0.00716638
 508	0.072440	0.00715045
 509	0.071700	0.00709061
 510	0.070966	0.00705085
 511	0.070238	0.00701636
 512	0.069516	0.00696917
 513	0.068800	0.00690037
 514	0.068090	0.00687455
 515	0.067386	0.00679669
 516	0.066688	0.00676221
 517	0.065996	0.00670366
 518	0.065309	0.00666575
 519	0.064629	0.00657908
 520	0.063954	0.00654875
 521	0.063285	0.00652257
 522	0.062622	0.00646628
 523	0.061965	0.00644088
 524	0.061313	0.00637420
 525	0.060667	0.00635912
 526	0.060026	0.00629596
 527	0.059392	0.00622842
 528	0.058762	0.00619192
 529	0.058138	0.00615128
 530	0.057520	0.00609521
 531	0.056907	0.00606150
 532	0.056299	0.00602639
 533	0.055697	0.00597768
 534	0.055100	0.00593753
 535	0.054508	0.00587496
 536	0.053922	0.00583200
 537	0.053341	0.00578426
 538	0.052765	0.00574191
 539	0.052194	0.00569811
 540	0.051629	0.00564175
 541	0.051068	0.00562422
 542	0.050513	0.00554891
 543	0.049962	0.00552979
 544	0.049417	0.00548375
 545	0.048876	0.00543728
 546	0.048341	0.00540146
 547	0.047810	0.00536373
 548	0.047284	0.00532688
 549	0.046764	0.00529399
 550	0.046247	0.00522877
 551	0.045736	0.00517832
 552	0.045230	0.00515185
 553	0.044728	0.00510680
 554	0.044231	0.00506874
 555	0.043738	0.00502445
 556	0.043250	0.00500440
 557	0.042767	0.00495951
 558	0.042288	0.00492969
 559	0.041814	0.00488146
 560	0.041344	0.00485258
 561	0.040879	0.00481731
 562	0.040418	0.00475974
 563	0.039961	0.00473488
 564	0.039509	0.00468751
 565	0.039061	0.00466404
 566	0.038618	0.00463502
 567	0.038178	0.00457086
 568	0.037743	0.00455665
 569	0.037313	0.00451210
 570	0.036886	0.00447485
 571	0.036463	0.00443427
 572	0.036045	0.00439868
 573	0.035631	0.00434680
 574	0.035220	0.00431853
 575	0.034814	0.00428870
 576	0.034412	0.00424582
 577	0.034014	0.00420745
 578	0.033619	0.00416351
 579	0.033229	0.00415844
 580	0.032842	0.00410068
 581	0.032460	0.00407666
 582	0.032081	0.00403364
 583	0.031706	0.00401877
 584	0.031334	0.00397064
 585	0.030966	0.00392798
 586	0.030603	0.00390209
 587	0.030242	0.00387016
 588	0.029886	0.00384259
 589	0.029533	0.00381501
 590	0.029183	0.00376653
 591	0.028837	0.00374576
 592	0.028495	0.00369823
 593	0.028156	0.00367894
 594	0.027821	0.00364340
 595	0.027489	0.00360772
 596	0.027160	0.00359210
 597	0.026835	0.00355177
 598	0.026513	0.00351942
 599	0.026195	0.00347935
 600	0.025879	0.00345315
 601	0.025567	0.00342115
 602	0.025259	0.00338201
 603	0.024953	0.00337559
 604	0.024651	0.00333562
 605	0.024352	0.00331496
 606	0.024056	0.00326845
 607	0.023763	0.00325482
 608	0.023474	0.00321420
 609	0.023187	0.00319806
 610	0.022903	0.00317795
 611	0.022623	0.00314931
 612	0.022345	0.00310109
 613	0.022071	0.00308521
 614	0.021799	0.00304130
 615	0.021530	0.00302102
 616	0.021264	0.00300105
 617	0.021001	0.00296753
 618	0.020741	0.00293806
 619	0.020484	0.00291155
 620	0.020229	0.00288318
 621	0.019977	0.00286567
 622	0.019728	0.00282498
 623	0.019482	0.00280867
 624	0.019238	0.00278651
 625	0.018997	0.00276747
 626	0.018758	0.00272838
 627	0.018523	0.00270996
 628	0.018289	0.00268453
 629	0.018059	0.00264804
 630	0.017831	0.00263255
 631	0.017605	0.00260711
 632	0.017382	0.00258009
 633	0.017161	0.00254753
 634	0.016943	0.00252707
 635	0.016728	0.00249668
 636	0.016514	0.00248248
 637	0.016304	0.00244879
 638	0.016095	0.00243021
 639	0.015889	0.00240253
 640	0.015685	0.00238695
 641	0.015484	0.00236915
 642	0.015284	0.00232951
 643	0.015087	0.00232170
 644	0.014893	0.00229563
 645	0.014700	0.00226909
 646	0.014510	0.00225441
 647	0.014321	0.00222105
 648	0.014135	0.00219979
 649	0.013952	0.00217799
 650	0.013770	0.00215923
 651	0.013590	0.00213136
 652	0.013413	0.00211830
 653	0.013237	0.00209730
 654	0.013064	0.00206824
 655	0.012892	0.00205073
 656	0.012723	0.00202964
 657	0.012555	0.00201597
 658	0.012389	0.00199046
 659	0.012226	0.00197352
 660	0.012064	0.00194856
 661	0.011904	0.00193653
 662	0.011746	0.00191139
 663	0.011590	0.00189268
 664	0.011436	0.00186799
 665	0.011284	0.00184921
 666	0.011133	0.00184220
 667	0.010984	0.00181424
 668	0.010837	0.00178541
 669	0.010692	0.00177940
 670	0.010548	0.00175700
 671	0.010407	0.00173848
 672	0.010266	0.00171449
 673	0.010128	0.00169954
 674	0.009991	0.00168692
 675	0.009856	0.00167183
 676	0.009722	0.00165225
 677	0.009591	0.00163473
 678	0.009460	0.00160872
 679	0.009332	0.00160030
 680	0.009204	0.00157913
 681	0.009079	0.00156118
 682	0.008955	0.00154518
 683	0.008832	0.00152813
 684	0.008711	0.00151822
 685	0.008592	0.00149584
 686	0.008474	0.00148142
 687	0.008357	0.00146193
 688	0.008242	0.00145317
 689	0.008128	0.00143134
 690	0.008016	0.00140563
 691	0.007905	0.00139849
 692	0.007795	0.00138258
 693	0.007687	0.00136634
 694	0.007580	0.00135425
 695	0.007474	0.00133427
 696	0.007370	0.00132037
 697	0.007267	0.00130604
